id,sz1,szbg,Organ-Size,pbg,Con-Com,SI-Index,BI-Index,Modality,classes,Dice,clDice,Boundary,Perimeter,Haussdorf,size
4_0_43.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_44.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_45.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_46.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_47.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_5.npy_,0,65536,0,100,0,,,2,0,1,1,9.99999993922529E-09,1,1,1
4_0_6.npy_,0,65536,0,100,0,,,2,0,1,1,6.66666666315763E-10,1,1,1
4_0_7.npy_,0,65536,0,100,0,,,2,0,1,1,7.69230790176323E-10,1,1,1
21_0_38.npy_,19,65517,0.02899169921875,99.9710083007812,0,,,2,1,0.470588237047195,0.611111104488373,0.451612889766693,0.5,0.652173936367035,0.60606062412262
21_0_39.npy_,8,65528,0.01220703125,99.98779296875,0,,,2,1,0.736842095851898,0.800000011920929,0.823529422283173,0.842105269432068,0.551724135875702,0.666666686534882
21_0_4.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_40.npy_,11,65525,0.01678466796875,99.9832153320312,0,,,2,1,0.699999988079071,0.818181812763214,0.736842095851898,0.636363625526428,0.695652186870575,0.75
21_0_41.npy_,3,65533,0.00457763671875,99.9954223632812,0,,,2,1,1.11111109202255E-09,1.11111109202255E-09,1.24999999240316E-09,1.24999999240316E-09,9.99999971718068E-10,1.24999999240316E-09
21_0_42.npy_,3,65533,0.00457763671875,99.9954223632812,0,,,2,1,3.33333338708996E-09,3.33333338708996E-09,3.33333338708996E-09,3.33333338708996E-09,3.33333338708996E-09,3.33333338708996E-09
21_0_43.npy_,10,65526,0.0152587890625,99.9847412109375,0,,,2,1,9.99999971718069E-10,5.88235293808026E-10,9.99999971718068E-10,9.99999971718068E-10,9.99999971718068E-10,9.99999971718068E-10
21_0_44.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_45.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_46.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_47.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_5.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_6.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_7.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_8.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
21_0_9.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_0.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_1.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_10.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_11.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_12.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
23_0_13.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
65_0_13.npy_,47,65489,0.07171630859375,99.9282836914062,0,,,2,1,2.1276595763009E-10,2.1276595763009E-10,2.1276595763009E-10,2.1276595763009E-10,2.1276595763009E-10,2.1276595763009E-10
65_0_14.npy_,103,65433,0.15716552734375,99.8428344726562,0,,,2,1,9.70873798022964E-11,9.70873798022964E-11,9.61538487720404E-11,9.70873798022964E-11,9.70873798022964E-11,8.54700824004517E-11
65_0_15.npy_,103,65433,0.15716552734375,99.8428344726562,0,,,2,1,6.80272088660061E-11,5.74712638590214E-11,8.26446272528258E-11,8.92857107692713E-11,9.0909092753666E-11,5.71428564188903E-11
65_0_16.npy_,133,65403,0.20294189453125,99.7970581054688,0,,,2,1,6.24999982323793E-11,0.008403361774981,0.01492537278682,6.28930796331417E-11,0.020202020183206,0.00917431153357
65_0_17.npy_,135,65401,0.20599365234375,99.7940063476562,0,,,2,1,7.40740732640966E-11,7.40740732640966E-11,7.40740732640966E-11,7.40740732640966E-11,7.14285713909746E-11,0.013513513840735
65_0_18.npy_,111,65425,0.16937255859375,99.8306274414062,0,,,2,1,9.00900881672939E-11,5.2910051340227E-11,9.00900881672939E-11,9.00900881672939E-11,6.24999982323793E-11,0.0588235296309
65_0_19.npy_,99,65437,0.15106201171875,99.8489379882812,0,,,2,1,1.01010103059629E-10,6.71140920616153E-11,8.1967210796563E-11,8.26446272528258E-11,6.80272088660061E-11,0.015748031437397
65_0_2.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
65_0_20.npy_,79,65457,0.12054443359375,99.8794555664062,0,,,2,1,1.02040813299009E-10,0.048780485987663,0.043010752648115,1.06382978815045E-10,9.0909092753666E-11,0.03999999910593
65_0_21.npy_,56,65480,0.08544921875,99.91455078125,5,-inf,0.017543859649123,2,1,1.78571421538543E-10,1.66666666578941E-10,0.03508771955967,0.190476194024086,1.78571421538543E-10,0.176470592617989
65_0_22.npy_,65,65471,0.09918212890625,99.9008178710938,6,-0.418080017245393,0.015151515151515,2,1,1.53846158035265E-10,0.54368931055069,0.516853928565979,0.58695650100708,0.452380955219269,0.720720708370209
65_0_23.npy_,149,65387,0.22735595703125,99.7726440429688,6,0.5129060297764,0.038709677419355,2,1,6.71140920616153E-11,0.709163367748261,0.557692289352417,0.633928596973419,0.3084577023983,0.81040894985199
65_0_24.npy_,146,65390,0.2227783203125,99.7772216796875,4,0.698440152909855,0.104294478527607,2,1,6.84931486527596E-11,0.643478274345398,0.340909093618393,0.616113722324371,0.463054180145264,0.73962265253067
65_0_25.npy_,158,65378,0.2410888671875,99.7589111328125,6,0.743609690461163,0.05952380952381,2,1,0.435643553733826,0.864048361778259,0.647540986537933,0.680000007152557,0.563876628875732,0.764119625091553
65_0_26.npy_,249,65287,0.37994384765625,99.6200561523438,5,0.830826866188612,0.094545454545455,2,1,0.350993365049362,0.766055047512054,0.708010315895081,0.69587630033493,0.663265287876129,0.784222722053528
65_0_27.npy_,236,65300,0.360107421875,99.639892578125,9,0.794051148264669,0.040650406504065,2,1,0.662889540195465,0.840707957744598,0.80493825674057,0.797979772090912,0.527272701263428,0.879310369491577
65_0_28.npy_,265,65271,0.40435791015625,99.5956420898438,15,0.653260286046941,0.036363636363636,2,1,0.497175127267837,0.684095859527588,0.674698770046234,0.598425209522247,0.317073166370392,0.744186043739319
65_0_29.npy_,422,65114,0.6439208984375,99.3560791015625,20,0.83813044781113,0.053811659192825,2,1,0.373795747756958,0.710594296455383,0.459016382694244,0.601599991321564,0.381625443696976,0.74135547876358
65_0_3.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
65_0_30.npy_,379,65157,0.57830810546875,99.4216918945312,26,0.559665822592259,0.040506329113924,2,1,0.439024388790131,0.602921664714813,0.499089241027832,0.530541002750397,0.145374447107315,0.595019638538361
65_0_31.npy_,628,64908,0.958251953125,99.041748046875,11,0.886769961750781,0.163781624500666,2,1,0.32669323682785,0.68855082988739,0.483977913856506,0.475507766008377,0.364628821611404,0.715265870094299
65_0_32.npy_,868,64668,1.324462890625,98.675537109375,10,0.881972713672267,0.417840375586855,2,1,0.251762330532074,0.772506058216095,0.454545468091965,0.522553205490112,0.586647748947144,0.755047082901001
